millis,stamp,datetime,accX,accY,accZ
75810, 1706974780, "2024/2/3 15:39:40",  23,  13,  1003
76060, 1706974780, "2024/2/3 15:39:40",  21,  18,  1005
76310, 1706974780, "2024/2/3 15:39:40",  17,  20,  1005
76560, 1706974781, "2024/2/3 15:39:41",  15,  20,  1003
76810, 1706974781, "2024/2/3 15:39:41",  16,  12,  1001
77060, 1706974781, "2024/2/3 15:39:41",  21,  15,  1006
77310, 1706974781, "2024/2/3 15:39:41",  21,  16,  1004
77560, 1706974782, "2024/2/3 15:39:42",  22,  12,  1005
77810, 1706974782, "2024/2/3 15:39:42",  18,  10,  1005
78060, 1706974782, "2024/2/3 15:39:42",  19,  15,  1006
78310, 1706974782, "2024/2/3 15:39:42",  23,  20,  1004
78560, 1706974783, "2024/2/3 15:39:43",  15,  16,  1000
78810, 1706974783, "2024/2/3 15:39:43",  18,  13,  1006
79060, 1706974783, "2024/2/3 15:39:43",  16,  17,  1004
79310, 1706974783, "2024/2/3 15:39:43",  23,  8,  1005
79560, 1706974784, "2024/2/3 15:39:44",  20,  14,  1003
79810, 1706974784, "2024/2/3 15:39:44",  18,  10,  1003
80060, 1706974784, "2024/2/3 15:39:44",  18,  22,  1005
80310, 1706974784, "2024/2/3 15:39:44",  17,  18,  1001
80560, 1706974785, "2024/2/3 15:39:45",  21,  13,  1002
80811, 1706974785, "2024/2/3 15:39:45",  20,  15,  1005
81061, 1706974785, "2024/2/3 15:39:45",  17,  15,  1004
81311, 1706974785, "2024/2/3 15:39:45",  15,  14,  1002
81561, 1706974786, "2024/2/3 15:39:46",  12,  15,  1002
81811, 1706974786, "2024/2/3 15:39:46",  18,  16,  1004
82061, 1706974786, "2024/2/3 15:39:46",  19,  14,  1002
82311, 1706974786, "2024/2/3 15:39:46",  19,  20,  1005
82561, 1706974787, "2024/2/3 15:39:47",  18,  12,  1004
82811, 1706974787, "2024/2/3 15:39:47",  21,  13,  1002
83061, 1706974787, "2024/2/3 15:39:47",  19,  14,  1005
83311, 1706974787, "2024/2/3 15:39:47",  14,  16,  1002
